ID;Data_Reclamacao;Consumidor;CPF;Cidade;UF;Categoria;Empresa;Descricao_Problema;Status;Nota_Consumidor;Tempo_Resposta_Dias
158;2023-04-27;Patrícia Mendes;282.912.399-98;Feira de Santana;BA;Correios e Entregas;vivo telefonica;Falta de resposta;Não Resolvido;4;48
159;07-04-2023;Carlos Souza;99945677531;Petrópolis;RJ;Alimentação - Delivery;Correios;Erro no aplicativo;Não Resolvido;5;77
160;15-06-2023;Gustavo Rocha;892-404-679-46;Olinda;PE;Energia Elétrica;claro / net;Atendimento precário;Finalizado não avaliado;4;54
161;24-10-2023;Roberto Almeida;723 798 120 59;Rio Largo;AL;Alimentação - Delivery;gol linhas aéreas;Internet instável;Em andamento;4;30
162;14/09/2024;Rafael Martins;58759947482;Caruaru;PE;Energia Elétrica;IFOOD;Voo cancelado sem aviso;Finalizado não avaliado;2;40
163;04.05.2023;Carlos Souza;288 468 180 94;Corumbá;MS;Transporte por Aplicativo;AZUL;Cobrança indevida;Em análise;5;
164;2024-08-22;Rafael Martins;532 392 975 12;Blumenau;SC;Telecomunicações - TV por Assinatura;samsung;Voo cancelado sem aviso;Em análise;4;N/A
165;25/10/2023;João Santos;32652290086;Três Lagoas;MS;Seguros;Apple;Internet instável;Em andamento;5;0
166;6/7/2024;Lucas Nascimento;340 458 377 17;Juiz de Fora;MG;Transporte por Aplicativo;ifood;Produto não entregue;Resolvido;5;87
167;21-05-2024;Larissa Barbosa;44451036023;Vitória da Conquista;BA;Transporte por Aplicativo;americanas;Estorno não realizado;Finalizado avaliado;2;51
168;23/12/2023;Roberto Almeida;56495044441;Imperatriz;MA;Telecomunicações - Telefonia Móvel;Claro / NET;Erro no aplicativo;Finalizado avaliado;2;34
169;15-04-2023;Amanda Dias;359 653 928 39;Viamão;RS;Telecomunicações - Internet;Claro;Conta contestada;Finalizado avaliado;4;15
170;28-08-2023;Bruno Carvalho;828 397 142 40;Cruzeiro do Sul;AC;Comércio Eletrônico;MOTOROLA;Dificuldade de cancelamento;Em análise;4;47
171;14.08.2023;Fernanda Pereira;698 968 313 42;Boa Vista;RR;Telecomunicações - Telefonia Móvel;Itaú Unibanco;Voo cancelado sem aviso;Finalizado não avaliado;3;21
172;2023-03-14;RAFAEL MARTINS;916.184.461-41;Parauapebas;PA;Transporte por Aplicativo;amazon brasil;Conta contestada;Em análise;5;60
173;2023-08-01;Vanessa Gomes;935 631 705 44;Bayeux;PB;Transporte Aéreo;Magazine luiza;Qualidade abaixo do esperado;Finalizado avaliado;3;-5
174;24-04-2024;Maria Silva;343.650.678-96;Oiapoque;AP;Viagens e Turismo;BANCO DO BRASIL;Produto diferente do anunciado;Em andamento;4;60
175;04-01-2024;Larissa Barbosa;829 321 611 46;Três Lagoas;MS;Telecomunicações - Telefonia Móvel;SAMSUNG;Voo cancelado sem aviso;Finalizado avaliado;1;78
176;6/4/2024;Thiago Ferreira;554.361.371-52;Várzea Grande;MT;Correios e Entregas;Magazine Luiza;Qualidade abaixo do esperado;Em andamento;3;32
177;16/8/2023;Camila Rodrigues;142-781-153-37;Dourados;MS;Água e Esgoto;Sky Brasil;Qualidade abaixo do esperado;Em análise;4;45
178;16/02/2024;Ana Oliveira;38993647624;Ilhéus;BA;Bancos e Financeiras;MercadoLivre;Atendimento precário;Em análise;1;37
179;09.05.2023;Fernanda Pereira;543 986 436 94;Luziânia;GO;Transporte por Aplicativo;CPFL ENERGIA;Cobrança indevida;Não Resolvido;1;24
180;14/6/2023;Lucas Nascimento;558-258-747-34;Joinville;SC;Viagens e Turismo;latam airlines;Cobrança indevida;Finalizado não avaliado;1;67
181;01.09.2024;Roberto Almeida;981 248 649 56;Plano Piloto;DF;Telecomunicações - TV por Assinatura;LATAM AIRLINES;Produto diferente do anunciado;Finalizado avaliado;5;45
182;28/11/2023;Camila Rodrigues;168-507-382-77;Jaraguá do Sul;SC;Cartões de Crédito/Débito;americanas;Qualidade abaixo do esperado;Em análise;1;35
183;14/1/2024;João Santos;39466512932;Piripiri;PI;Transporte Aéreo;Claro/Net;Conta contestada;Em andamento;5;62
184;2023-02-17;Lucas Nascimento;704 124 866 46;Natal;RN;Cartões de Crédito/Débito;oi fixo;Estorno não realizado;Não Resolvido;4;
